가맹점명,서울페이업종명,우편번호,자치구명,기본주소,상세주소
두손두발,생활/리빙,4710,성동구 ,서울특별시 성동구 왕십리로31길 10-1,1층 두손두발
그루밍74,생활/리빙,6284,강남구 ,서울 강남구 삼성로,"212, 상가A동 1층 113호 (대치동)"
얘들아 놀자,보건/복지,5398,강동구 ,"서울특별시 강동구 강동대로 143-48 (성내동, 파크뷰 진도)",
역삼청소년센터,문화/체육,6228,강남구 ,서울특별시 강남구 논현로64길 7 (역삼동),역삼청소년센터
콩툰 동대문점,음식점/식음료업,4564,중구   ,"서울특별시 중구 장충단로 253 (을지로6가, 헬로우APM)",지하1층 160호
주식회사 유오코,의류/잡화,3984,마포구 ,서울특별시 마포구 동교로29길 48 (연남동),1층
세영이지 주식회사,음식점/식음료업,4310,용산구 ,"서울특별시 용산구 청파로47길 100 (청파동2가, 숙명여자대학교)",제2캠퍼스 중앙도서관5층
구로G밸리체육관,문화/체육,8389,구로구 ,"서울특별시 구로구 디지털로26길 87 (구로동, 한국산업기술시험원)",구로G밸리체육관
손녀 칼국수,음식점/식음료업,8510,금천구 ,서울 금천구 벚꽃로,298 대륭포스트타워6차 B138호 손녀칼국수
새별요가,기술/기능 교육,8701,관악구 ,서울특별시 관악구 난곡로 359 (신림동),4층 새별요가
연세키즈 소아청소년과의원,보건/복지,2598,동대문구,"서울특별시 동대문구 답십리로 130 (답십리동, 래미안위브)","래미안위브아파트 301동 지층상가 4호, 연세키즈소아청소년과"
디귿헤어,생활/리빙,1694,노원구 ,서울특별시 노원구 상계로 51 201호,디귿헤어
(#)강서양천 산모피아,보건/복지,7563,강서구 ,"서울특별시 강서구 공항대로59길 8 (등촌동, 우현빌딩)",5층76호
마포구5호점 우리동네키움센터,보건/복지,4147,마포구 ,"서울특별시 마포구 백범로31길 8 (공덕동, 공덕SK리더스뷰) 201동~202동",3층 마포구5호점 우리동네키움센터
명가김밥,음식점/식음료업,1401,도봉구 ,서울특별시 도봉구 도봉로136가길 4,109호
무브투게더 PT studio 신길역점,문화/체육,7308,영등포구,"서울특별시 영등포구 경인로112길 4-3 (영등포동1가, 여의도더시그니엘)",지하 1층
더 레어 원그로브점,음식점/식음료업,7800,강서구 ,서울특별시 강서구 공항대로 165 (마곡동),C동 2층 W219호
르엘필라테스,기술/기능 교육,2221,중랑구 ,서울특별시 중랑구 면목로 357 (면목동),3층
피아이씨비,음식점/식음료업,3030,종로구 ,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬)",제1층 124호 피아이씨비
